cutoff_hours,current_candidates,current_unique_events,current_raw_positive,current_residual_positive,forecast_median_candidates,forecast_q025_candidates,forecast_q975_candidates,probability_at_least_40,probability_raw_capacity,probability_residual_capacity
48,48,29,48,47,325.0,248.0,417.0,1.0,1.0,1.0
24,37,13,37,35,251.0,184.0,333.0,1.0,1.0,1.0
12,5,5,5,5,35.0,14.0,71.0,0.36955,1.0,1.0
6,5,4,5,5,35.0,14.0,70.0,0.3665,1.0,1.0
