cutoff_hours,current_candidates,current_unique_events,current_raw_positive,current_residual_positive,forecast_median_candidates,forecast_q025_candidates,forecast_q975_candidates,probability_at_least_40,probability_raw_capacity,probability_residual_capacity
48,59,27,59,59,241.0,192.0,298.0,1.0,1.0,1.0
24,56,25,56,56,229.0,181.0,285.0,1.0,1.0,1.0
12,2,2,2,2,8.0,2.0,23.0,0.0005,1.0,1.0
6,2,2,2,2,8.0,2.0,23.0,0.00065,1.0,1.0
