cutoff_hours,current_candidates,current_unique_events,current_raw_positive,current_residual_positive,forecast_median_candidates,forecast_q025_candidates,forecast_q975_candidates,probability_at_least_40,probability_raw_capacity,probability_residual_capacity
48,49,22,49,49,260.0,201.0,332.0,1.0,1.0,1.0
24,15,12,15,15,80.0,50.0,122.0,0.99715,1.0,1.0
12,2,2,2,2,11.0,3.0,31.0,0.00615,1.0,1.0
6,0,0,0,0,1.0,0.0,12.0,5e-05,0.9997,0.9996
