cutoff_hours,current_candidates,current_unique_events,current_raw_positive,current_residual_positive,forecast_median_candidates,forecast_q025_candidates,forecast_q975_candidates,probability_at_least_40,probability_raw_capacity,probability_residual_capacity
48,8,3,8,8,108.0,52.0,197.0,0.9959,1.0,1.0
24,2,2,2,2,29.0,6.0,82.0,0.2993,1.0,1.0
12,0,0,0,0,3.0,0.0,32.0,0.0124,0.9904,0.9912
6,0,0,0,0,3.0,0.0,32.0,0.0136,0.99055,0.9904
