cutoff_hours,current_candidates,current_unique_events,current_raw_positive,current_residual_positive,forecast_median_candidates,forecast_q025_candidates,forecast_q975_candidates,probability_at_least_40,probability_raw_capacity,probability_residual_capacity
48,129,37,129,128,498.0,429.0,575.0,1.0,1.0,1.0
24,134,39,134,132,518.0,446.0,597.0,1.0,1.0,1.0
12,15,10,15,14,58.0,37.0,88.0,0.9553,1.0,1.0
6,11,10,11,11,43.0,25.0,69.0,0.61855,1.0,1.0
