cutoff_hours,current_candidates,current_unique_events,current_raw_positive,current_residual_positive,forecast_median_candidates,forecast_q025_candidates,forecast_q975_candidates,probability_at_least_40,probability_raw_capacity,probability_residual_capacity
48,11,5,11,11,98.0,54.0,164.0,0.9981,1.0,1.0
24,4,3,4,4,37.0,13.0,81.0,0.4351,1.0,1.0
12,0,0,0,0,2.0,0.0,20.0,0.0019,0.9968,0.9966
6,0,0,0,0,2.0,0.0,21.0,0.0022,0.99645,0.99715
