cutoff_hours,current_candidates,current_unique_events,current_raw_positive,current_residual_positive,forecast_median_candidates,forecast_q025_candidates,forecast_q975_candidates,probability_at_least_40,probability_raw_capacity,probability_residual_capacity
48,8,3,8,8,144.0,68.0,263.0,0.9994,1.0,1.0
24,1,1,1,1,21.0,2.0,79.02499999999782,0.20565,0.9999,0.99915
12,0,0,0,0,4.0,0.0,42.0,0.03045,0.98545,0.986
6,0,0,0,0,4.0,0.0,43.0,0.0315,0.9842,0.9848
