cutoff_hours,current_candidates,current_unique_events,current_raw_positive,current_residual_positive,forecast_median_candidates,forecast_q025_candidates,forecast_q975_candidates,probability_at_least_40,probability_raw_capacity,probability_residual_capacity
48,64,28,64,64,189.0,154.0,229.0,1.0,1.0,1.0
24,71,30,71,71,209.0,172.0,253.0,1.0,1.0,1.0
12,30,22,30,30,88.0,66.0,118.0,1.0,1.0,1.0
6,22,18,22,22,65.0,46.0,90.0,0.99775,1.0,1.0
