utc_day,candidate_rows,unique_events,snapshots,collection_cycles,bookmakers
2026-07-19,41,13,16,4,9
2026-07-20,87,39,14,5,14
2026-07-21,127,40,14,4,16
2026-07-22,136,34,16,4,17
