cutoff_hours,current_candidates,current_unique_events,current_raw_positive,current_residual_positive,forecast_median_candidates,forecast_q025_candidates,forecast_q975_candidates,probability_at_least_40,probability_raw_capacity,probability_residual_capacity
48,5,3,5,5,137.0,52.0,286.0,0.99345,1.0,1.0
24,0,0,0,0,6.0,0.0,65.0,0.07905,0.9747,0.97505
12,0,0,0,0,6.0,0.0,65.0,0.0784,0.9746,0.97435
6,0,0,0,0,6.0,0.0,65.0,0.0815,0.97385,0.97375
