cutoff_hours,current_candidates,current_unique_events,current_raw_positive,current_residual_positive,forecast_median_candidates,forecast_q025_candidates,forecast_q975_candidates,probability_at_least_40,probability_raw_capacity,probability_residual_capacity
48,24,17,24,24,183.0,124.0,260.0,1.0,1.0,1.0
24,5,4,5,5,39.0,16.0,79.0,0.4832,1.0,1.0
12,0,0,0,0,1.0,0.0,17.0,0.0009,0.99795,0.9984
6,0,0,0,0,1.0,0.0,18.0,0.0008,0.99805,0.9981
