cutoff_hours,current_candidates,current_unique_events,current_raw_positive,current_residual_positive,forecast_median_candidates,forecast_q025_candidates,forecast_q975_candidates,probability_at_least_40,probability_raw_capacity,probability_residual_capacity
48,113,34,113,112,509.0,431.0,596.0,1.0,1.0,1.0
24,82,39,82,80,370.0,305.0,445.0,1.0,1.0,1.0
12,15,10,15,14,68.0,43.0,103.0,0.98745,1.0,1.0
6,9,8,9,9,41.0,22.0,70.0,0.5492,1.0,1.0
