cutoff_hours,current_candidates,current_unique_events,current_raw_positive,current_residual_positive,forecast_median_candidates,forecast_q025_candidates,forecast_q975_candidates,probability_at_least_40,probability_raw_capacity,probability_residual_capacity
48,20,7,20,19,182.0,116.0,268.0,1.0,1.0,1.0
24,29,8,29,27,262.0,182.0,362.0,1.0,1.0,1.0
12,2,2,2,2,19.0,4.0,55.0,0.1032,1.0,1.0
6,5,4,5,5,46.0,18.0,94.0,0.639,1.0,1.0
