cutoff_hours,current_candidates,current_unique_events,current_raw_positive,current_residual_positive,forecast_median_candidates,forecast_q025_candidates,forecast_q975_candidates,probability_at_least_40,probability_raw_capacity,probability_residual_capacity
48,161,56,161,160,396.0,350.0,445.0,1.0,1.0,1.0
24,173,52,173,171,425.0,378.975,475.0,1.0,1.0,1.0
12,72,41,72,70,177.0,148.0,210.02499999999782,1.0,1.0,1.0
6,54,37,54,54,133.0,108.0,162.0,1.0,1.0,1.0
