utc_day,candidate_rows,unique_events,snapshots,collection_cycles,bookmakers
2026-07-19,41,13,16,4,9
2026-07-20,87,39,14,5,14
2026-07-21,127,40,14,4,16
2026-07-22,160,34,20,5,17
2026-07-23,21,16,6,3,10
2026-07-24,24,24,2,1,11
